-- COMPILE DATE : Ver:10/21, BuildDate:Nov 29 2011 16:28:42, BuildVer:DIST --
[00:08:-100][S][KICKVOTE_RESULT] KickedUser:bwzj13d74dd(UID:1625103) Reason:0, Agreement:5, Disagreement:1
[09:17:-100][10.33.39.66:9917:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[09:17:-100][109.105.131.90:25800:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[09:18:-100][85.26.231.65:41231:2809226:22]KILL USER : (KillReasoun : 22)(1) 
[09:19:-100][10.33.39.66:9917:-1:2]KILL USER : (KillReasoun : 2)(16731) 
[09:19:-100][109.105.131.90:25800:-1:2]KILL USER : (KillReasoun : 2)(16731) 
[09:20:-100][109.70.184.42:7668:2852928:22]KILL USER : (KillReasoun : 22)(1) 
[09:22:-100][46.138.116.148:40197:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[09:23:-100][188.18.22.144:60612:2900604:22]KILL USER : (KillReasoun : 22)(1) 
[09:23:-100][92.246.197.77:61121:2950491:22]KILL USER : (KillReasoun : 22)(1) 
[09:24:-100][46.138.116.148:40197:-1:2]KILL USER : (KillReasoun : 2)(16736) 
[09:29:-100][46.147.121.110:8402:2953449:22]KILL USER : (KillReasoun : 22)(1) 
[09:29:-100][178.205.8.175:15365:2472164:22]KILL USER : (KillReasoun : 22)(1) 
[09:29:-100][94.251.65.230:5128:2592915:22]KILL USER : (KillReasoun : 22)(1) 
[09:30:-100][31.23.92.92:16141:2488153:22]KILL USER : (KillReasoun : 22)(1) 
[09:30:-100][95.52.61.7:41487:1060016:22]KILL USER : (KillReasoun : 22)(1) 
[09:32:-100][93.94.176.242:37602:1189036:22]KILL USER : (KillReasoun : 22)(1) 
[09:33:-100][95.128.242.178:58582:568017:22]KILL USER : (KillReasoun : 22)(1) 
[09:34:-100][46.159.233.116:43019:1756556:22]KILL USER : (KillReasoun : 22)(1) 
[09:34:-100][78.158.192.218:8942:893061:22]KILL USER : (KillReasoun : 22)(1) 
[09:34:-100][188.123.252.114:14631:1058453:22]KILL USER : (KillReasoun : 22)(1) 
[09:34:-100][85.26.165.31:12303:2444667:22]KILL USER : (KillReasoun : 22)(1) 
[09:39:-100][217.118.81.20:61620:2219497:22]KILL USER : (KillReasoun : 22)(1) 
[09:39:-100][195.211.229.194:62980:2497361:22]KILL USER : (KillReasoun : 22)(1) 
[09:41:0049][91.103.207.70:9950:-1:7][ERROR]SendErrorMessage(UID:-1, Protocol:43017, BackProtocol:0,timestamp(1), Error:800010d3, KillReason:7, Message:)
[09:42:-100][188.253.151.72:28171:2901785:22]KILL USER : (KillReasoun : 22)(1) 
[09:43:-100][91.103.207.70:9950:-1:7]KILL USER : (KillReasoun : 7)(16755) 
[09:46:-100][109.74.220.4:1029:2452716:22]KILL USER : (KillReasoun : 22)(1) 
[09:46:-100][194.28.184.230:32480:691325:22]KILL USER : (KillReasoun : 22)(1) 
[09:51:-100][109.105.130.15:23504:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[09:51:-100][93.185.192.84:2573:2723114:22]KILL USER : (KillReasoun : 22)(1) 
[09:53:-100][109.105.130.15:23504:-1:2]KILL USER : (KillReasoun : 2)(16765) 
[09:53:-100][77.79.165.43:7942:888448:22]KILL USER : (KillReasoun : 22)(1) 
[09:54:-100][93.94.182.180:40712:329055:22]KILL USER : (KillReasoun : 22)(1) 
[09:55:-100][212.103.121.80:49379:2807379:22]KILL USER : (KillReasoun : 22)(1) 
[10:00:-100][178.44.165.115:26816:2520958:22]KILL USER : (KillReasoun : 22)(1) 
[10:01:0044][83.149.44.235:47832:-1:7][ERROR]SendErrorMessage(UID:-1, Protocol:43017, BackProtocol:0,timestamp(2), Error:800010d3, KillReason:7, Message:)
[10:03:-100][83.149.44.235:47832:-1:7]KILL USER : (KillReasoun : 7)(16775) 
[10:04:-100][46.146.212.124:50123:1891672:22]KILL USER : (KillReasoun : 22)(1) 
